country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Japan,JP,2022-06-05,TV,2,SPY x FAMILY,SPY x FAMILY: Season 1,8
Japan,JP,2022-06-05,TV,3,Our Blues,Our Blues: Season 1,5
Japan,JP,2022-06-05,TV,4,Stranger Things,,1
Japan,JP,2022-06-05,TV,5,The Way of the Househusband,The Way of the Househusband: Season 1,1
Japan,JP,2022-06-05,TV,6,Doctor John,Doctor John: Season 1,1
Japan,JP,2022-06-05,TV,7,My Liberation Notes,My Liberation Notes: Season 1,3
Japan,JP,2022-06-05,TV,8,Green Mothers' Club,Green Mothers' Club: Season 1,5
Japan,JP,2022-06-05,TV,9,Itaewon Class,Itaewon Class: Season 1,45
Japan,JP,2022-06-05,TV,10,Crash Landing on You,Crash Landing on You: Season 1,49
Japan,JP,2022-05-29,Films,1,The Game,,1
Japan,JP,2022-05-29,Films,2,Senior Year,,3
Japan,JP,2022-05-29,Films,3,Guns Akimbo,,1
Japan,JP,2022-05-29,Films,4,Kasane,,1
Japan,JP,2022-05-29,Films,5,Those Who Wish Me Dead,,2
Japan,JP,2022-05-29,Films,6,What She Likes...,,1
Japan,JP,2022-05-29,Films,7,Paw Patrol: The Movie,,4
Japan,JP,2022-05-29,Films,8,The Shawshank Redemption,,2
Japan,JP,2022-05-29,Films,9,Crayon Shin-chan the Movie: Shrouded in Mystery! The Flowers of Tenkasu Academy,,6
Japan,JP,2022-05-29,Films,10,A Perfect Pairing,,1
Japan,JP,2022-05-29,TV,1,SPY x FAMILY,SPY x FAMILY: Season 1,7
Japan,JP,2022-05-29,TV,2,Stranger Things,Stranger Things 4,1
Japan,JP,2022-05-29,TV,3,Green Mothers' Club,Green Mothers' Club: Season 1,4
Japan,JP,2022-05-29,TV,4,Our Blues,Our Blues: Season 1,4
Japan,JP,2022-05-29,TV,5,Tomorrow,Tomorrow: Season 1,5
Japan,JP,2022-05-29,TV,6,My Liberation Notes,My Liberation Notes: Season 1,2
Japan,JP,2022-05-29,TV,7,The Good Doctor,The Good Doctor: Season 1,3
Japan,JP,2022-05-29,TV,8,Ghost in the Shell: SAC_2045,Ghost in the Shell: SAC_2045: Season 2,1
Japan,JP,2022-05-29,TV,9,Itaewon Class,Itaewon Class: Season 1,44
Japan,JP,2022-05-29,TV,10,Crash Landing on You,Crash Landing on You: Season 1,48
Japan,JP,2022-05-22,Films,1,Senior Year,,2
Japan,JP,2022-05-22,Films,2,Assassination Classroom,,2
Japan,JP,2022-05-22,Films,3,Those Who Wish Me Dead,,1
Japan,JP,2022-05-22,Films,4,Assassination Classroom: Graduation,,1
Japan,JP,2022-05-22,Films,5,Paw Patrol: The Movie,,3
Japan,JP,2022-05-22,Films,6,Crayon Shin-chan the Movie: Shrouded in Mystery! The Flowers of Tenkasu Academy,,5
Japan,JP,2022-05-22,Films,7,Bubble,,4
Japan,JP,2022-05-22,Films,8,The Shawshank Redemption,,1
Japan,JP,2022-05-22,Films,9,Cyber Hell: Exposing an Internet Horror,,1
Japan,JP,2022-05-22,Films,10,Ready Player One,,2
Japan,JP,2022-05-22,TV,1,SPY x FAMILY,SPY x FAMILY: Season 1,6
Japan,JP,2022-05-22,TV,2,Green Mothers' Club,Green Mothers' Club: Season 1,3
Japan,JP,2022-05-22,TV,3,Tomorrow,Tomorrow: Season 1,4
Japan,JP,2022-05-22,TV,4,Our Blues,Our Blues: Season 1,3
Japan,JP,2022-05-22,TV,5,Itaewon Class,Itaewon Class: Season 1,43
Japan,JP,2022-05-22,TV,6,Business Proposal,Business Proposal: Season 1,12
Japan,JP,2022-05-22,TV,7,Crash Landing on You,Crash Landing on You: Season 1,47
Japan,JP,2022-05-22,TV,8,My Liberation Notes,My Liberation Notes: Season 1,1
Japan,JP,2022-05-22,TV,9,Hey Handsome!!,,1
Japan,JP,2022-05-22,TV,10,The Good Doctor,The Good Doctor: Season 1,2
Japan,JP,2022-05-15,Films,1,Paw Patrol: The Movie,,2
Japan,JP,2022-05-15,Films,2,Bubble,,3
Japan,JP,2022-05-15,Films,3,Ready Player One,,1
Japan,JP,2022-05-15,Films,4,Kong: Skull Island,,1
Japan,JP,2022-05-15,Films,5,Crayon Shin-chan the Movie: Shrouded in Mystery! The Flowers of Tenkasu Academy,,4
Japan,JP,2022-05-15,Films,6,Ghost in the Shell: SAC_2045 Sustainable War,,1
Japan,JP,2022-05-15,Films,7,Mio's Cookbook,,1
Japan,JP,2022-05-15,Films,8,The Method of Repulsing the Dove,,3
Japan,JP,2022-05-15,Films,9,Assassination Classroom,,1
Japan,JP,2022-05-15,Films,10,Senior Year,,1
Japan,JP,2022-05-15,TV,1,SPY x FAMILY,SPY x FAMILY: Season 1,5
Japan,JP,2022-05-15,TV,2,Green Mothers' Club,Green Mothers' Club: Season 1,2
Japan,JP,2022-05-15,TV,3,Business Proposal,Business Proposal: Season 1,11
Japan,JP,2022-05-15,TV,4,Itaewon Class,Itaewon Class: Season 1,42
Japan,JP,2022-05-15,TV,5,Tomorrow,Tomorrow: Season 1,3
Japan,JP,2022-05-15,TV,6,Our Blues,Our Blues: Season 1,2
Japan,JP,2022-05-15,TV,7,The Sound of Magic,The Sound of Magic: Season 1,1
Japan,JP,2022-05-15,TV,8,Crash Landing on You,Crash Landing on You: Season 1,46
Japan,JP,2022-05-15,TV,9,Dr. White,Dr. White: Season 1,2
Japan,JP,2022-05-15,TV,10,Twenty Five Twenty One,Twenty Five Twenty One: Season 1,11
Japan,JP,2022-05-08,Films,1,Bubble,,2
Japan,JP,2022-05-08,Films,2,The Method of Repulsing the Dove,,2
Japan,JP,2022-05-08,Films,3,Crayon Shin-chan the Movie: Shrouded in Mystery! The Flowers of Tenkasu Academy,,3
Japan,JP,2022-05-08,Films,4,The Suicide Squad (Dubbed Version),,2
Japan,JP,2022-05-08,Films,5,Paw Patrol: The Movie,,1
Japan,JP,2022-05-08,Films,6,"As Above, So Below",,1
Japan,JP,2022-05-08,Films,7,The Interpreter,,1
Japan,JP,2022-05-08,Films,8,Space Jam: A New Legacy,,1
Japan,JP,2022-05-08,Films,9,AI Amok,,2
Japan,JP,2022-05-08,Films,10,The Suicide Squad,,2
Japan,JP,2022-05-08,TV,1,SPY x FAMILY,SPY x FAMILY: Season 1,4
Japan,JP,2022-05-08,TV,2,Business Proposal,Business Proposal: Season 1,10
Japan,JP,2022-05-08,TV,3,Crash Landing on You,Crash Landing on You: Season 1,45
Japan,JP,2022-05-08,TV,4,Dr. White,Dr. White: Season 1,1
Japan,JP,2022-05-08,TV,5,Itaewon Class,Itaewon Class: Season 1,41
Japan,JP,2022-05-08,TV,6,Love (ft. Marriage and Divorce),Love (ft. Marriage and Divorce): Season 3,8
Japan,JP,2022-05-08,TV,7,Green Mothers' Club,Green Mothers' Club: Season 1,1
Japan,JP,2022-05-08,TV,8,Tomorrow,Tomorrow: Season 1,2
Japan,JP,2022-05-08,TV,9,Our Blues,Our Blues: Season 1,1
Japan,JP,2022-05-08,TV,10,Rettou Seiha (Tentative),Rettou Seiha (Tentative): Season 1,1
Japan,JP,2022-05-01,Films,1,Crayon Shin-chan the Movie: Shrouded in Mystery! The Flowers of Tenkasu Academy,,2
Japan,JP,2022-05-01,Films,2,The Method of Repulsing the Dove,,1
Japan,JP,2022-05-01,Films,3,Bubble,,1
Japan,JP,2022-05-01,Films,4,The Suicide Squad,,1
Japan,JP,2022-05-01,Films,5,The Suicide Squad (Dubbed Version),,1
Japan,JP,2022-05-01,Films,6,Violet Evergarden the Movie,,3
Japan,JP,2022-05-01,Films,7,365 Days: This Day,,1
Japan,JP,2022-05-01,Films,8,AI Amok,,1
Japan,JP,2022-05-01,Films,9,Fantastic Beasts: The Crimes of Grindelwald,,7
Japan,JP,2022-05-01,Films,10,Love Like the Falling Petals,,6
Japan,JP,2022-05-01,TV,1,SPY x FAMILY,SPY x FAMILY: Season 1,3
Japan,JP,2022-05-01,TV,2,Business Proposal,Business Proposal: Season 1,9
Japan,JP,2022-05-01,TV,3,Love (ft. Marriage and Divorce),Love (ft. Marriage and Divorce): Season 3,7
Japan,JP,2022-05-01,TV,4,Crash Landing on You,Crash Landing on You: Season 1,44
Japan,JP,2022-05-01,TV,5,Itaewon Class,Itaewon Class: Season 1,40
Japan,JP,2022-05-01,TV,6,He's Expecting,He's Expecting: Season 1,2
Japan,JP,2022-05-01,TV,7,Forecasting Love and Weather,Forecasting Love and Weather: Season 1,11
Japan,JP,2022-05-01,TV,8,Twenty Five Twenty One,Twenty Five Twenty One: Season 1,10
Japan,JP,2022-05-01,TV,9,Thirty-Nine,Thirty-Nine: Season 1,11
Japan,JP,2022-05-01,TV,10,Tomorrow,Tomorrow: Season 1,1
Japan,JP,2022-04-24,Films,1,Crayon Shin-chan the Movie: Shrouded in Mystery! The Flowers of Tenkasu Academy,,1
Japan,JP,2022-04-24,Films,2,Violet Evergarden the Movie,,2
Japan,JP,2022-04-24,Films,3,Choose or Die,,2
Japan,JP,2022-04-24,Films,4,Hero,,1
Japan,JP,2022-04-24,Films,5,Fantastic Beasts: The Crimes of Grindelwald,,6
Japan,JP,2022-04-24,Films,6,Hero (2015),,1
Japan,JP,2022-04-24,Films,7,Yaksha: Ruthless Operations,,3
Japan,JP,2022-04-24,Films,8,Love Like the Falling Petals,,5
Japan,JP,2022-04-24,Films,9,Fantastic Beasts and Where To Find Them,,5
Japan,JP,2022-04-24,Films,10,Hello World,,1
Japan,JP,2022-04-24,TV,1,Business Proposal,Business Proposal: Season 1,8
Japan,JP,2022-04-24,TV,2,SPY x FAMILY,SPY x FAMILY: Season 1,2
Japan,JP,2022-04-24,TV,3,Forecasting Love and Weather,Forecasting Love and Weather: Season 1,10
Japan,JP,2022-04-24,TV,4,Thirty-Nine,Thirty-Nine: Season 1,10
Japan,JP,2022-04-24,TV,5,Twenty Five Twenty One,Twenty Five Twenty One: Season 1,9
Japan,JP,2022-04-24,TV,6,Crash Landing on You,Crash Landing on You: Season 1,43
Japan,JP,2022-04-24,TV,7,The Rising of the Shield Hero,The Rising of the Shield Hero: Season 1,2
Japan,JP,2022-04-24,TV,8,He's Expecting,He's Expecting: Season 1,1
Japan,JP,2022-04-24,TV,9,Extraordinary You,Extraordinary You: Season 1,3
